TIMESTAMP | EVENT | ARM B | ARM C | ARM D | WAKE_IDX | USER_TEXT | PEPPER_ANSWER
19:30:26.935 | HEARTBEAT    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:27.452 | HEARTBEAT    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:27.974 | HEARTBEAT    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:28.497 | HEARTBEAT    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:29.019 | HEARTBEAT    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:29.534 | HEARTBEAT    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:30.051 | HEARTBEAT    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:30.572 | HEARTBEAT    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:30.781 | WAKE_WORD    | B = T | C = F | D = T | Idx:046 | User:                | Pepper:               
19:30:30.785 | TRANSCRIPT   | B = T | C = F | D = T | Idx:046 | User:Ah bon, donc quels sont les sa | Pepper:               
19:30:34.306 | HANDOVER     | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:34.826 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:35.343 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:35.859 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:36.378 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:36.895 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:37.414 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:37.931 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:38.452 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:38.969 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:39.487 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:40.002 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:40.521 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
19:30:41.040 | HEARTBEAT    | B = T | C = T | D = F | Idx:046 | User:                | Pepper:               
